,x-pixel,y-pixel,Drop
0,88,528,N
1,64,615,N
2,72,544,N
3,32,672,N
4,32,591,N
5,95,557,N
6,133,578,N
7,125,615,N
9,40,648,N
10,20,288,N
11,61,161,N
12,131,160,N
13,21,398,N
14,98,161,N
15,162,160,N
16,195,159,N
17,229,159,N
18,371,156,N
19,443,156,N
20,555,154,N
21,405,156,N
22,267,158,N
23,521,156,N
24,338,156,N
25,483,155,N
26,177,237,N
27,53,287,N
28,299,158,N
29,129,287,N
31,252,235,N
32,213,236,N
33,292,234,N
34,330,233,N
35,171,288,N
36,92,286,N
37,371,233,N
38,211,287,N
39,619,234,N
40,251,287,N
41,289,287,N
42,411,233,N
43,329,287,N
44,141,238,N
45,553,286,N
46,107,239,N
47,58,398,N
48,595,284,N
49,145,399,N
50,370,286,N
51,34,162,N
52,457,234,N
54,413,287,N
55,506,286,N
56,99,398,N
57,69,239,N
58,618,405,N
59,459,286,N
60,30,239,N
61,497,234,N
62,624,287,N
63,234,399,N
66,537,233,N
68,193,399,N
73,578,233,N
75,426,401,N
76,474,402,N
78,289,399,N
80,529,404,N
81,385,401,N
83,338,399,N
